Kode,Nama,Nama Latin,Asal,Kategori,Tipe Bahan,Keterangan,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
KP003,Santan (dengan air) (Coconut milk mixed with water),Cocos nucifera,,Minyak/Lemak,Olahan (Processed),,: 80.0 g,: 122 Kal,: 2.0 g,: 10.0 g,: 7.6 g,: 0.4 g,: 25 mg,: 30 mg,: 0.1 mg,: 9 mg,: 162.4 mg,: 0.16 mg,: 0.4 mg,: 0.00 mg,: 0.5 mg,: 1.4 g,: 0 mcg,,,: 0.02 mg,: 2 mg
KP004,"Santan murni (Coconut milk, pured)",Cocos nucifera,,Minyak/Lemak,Olahan (Processed),,: 54.9 g,: 324 Kal,: 4.2 g,: 34.3 g,: 5.6 g,: 1.0 g,: 14 mg,: 45 mg,: 1.9 mg,: 18 mg,: 514.1 mg,: 0.37 mg,: 0.9 mg,: 0.00 mg,: 0.5 mg,: 0.0 g,: 0 mcg,: 0 mcg,,: 0.02 mg,: 2 mg
NP009,"Saos tomat (Tomato, sauce)",,,Bumbu,Olahan (Processed),,: 69.5 g,: 110 Kal,: 2.0 g,: 0.4 g,: 24.5 g,: 3.6 g,: 12 mg,: 18 mg,: 0.8 mg,: 890 mg,: 129.6 mg,: 0.18 mg,: 0.3 mg,: 0.06 mg,: 1.7 mg,: 0.9 g,,: 357 mcg,: 570 mcg,: 0.09 mg,: 11 mg
FP011,"Sapi, abon",,,Daging,Olahan (Processed),,: 7.1 g,: 212 Kal,: 18.0 g,: 10.6 g,: 59.3 g,: 4.7 g,: 150 mg,: 209 mg,: 12.3 mg,,,,,,,: 7.5 g,: 0 mcg,: 240 mcg,: 138 mcg,: 0.17 mg,: 0 mg
FP012,"Sapi, abon, asli",,,Daging,Olahan (Processed),,: 24.8 g,: 358 Kal,: 14.6 g,: 16.1 g,: 38.6 g,: 5.8 g,: 165 mg,: 136 mg,: 14.6 mg,,,,,,,: 2.5 g,: 3 mcg,: 194 mcg,: 144 mcg,: 0.13 mg,: 0 mg
FR023,"Sapi, babat, segar (Tripe, fresh)",Bos javanicus,,Daging,Mentah (Raw),,: 76.7 g,: 108 Kal,: 17.6 g,: 4.2 g,: 0.0 g,: 1.5 g,: 12 mg,: 144 mg,: 1.0 mg,: 147 mg,: 101.4 mg,: 0.11 mg,: 2.2 mg,: 0.17 mg,: 1.7 mg,: 0.0 g,: 0 mcg,: 49 mcg,,: 0.15 mg,: 0 mg
FP013,"Sapi, daging, asap",,,Daging,Olahan (Processed),,: 60.0 g,: 182 Kal,: 32.0 g,: 6.0 g,: 0.0 g,: 2.0 g,: 15 mg,: 300 mg,: 5.0 mg,": 1,620 mg",: 485.4 mg,: 0.03 mg,: 5.1 mg,: 0.23 mg,: 5.9 mg,: 0.0 g,: 6 mcg,,,: 0.12 mg,: 0 mg
FP014,"Sapi, daging, dendeng, mentah",,,Daging,Olahan (Processed),,: 25.0 g,: 301 Kal,: 55.0 g,: 9.0 g,: 0.0 g,: 11.0 g,: 30 mg,: 370 mg,: 5.1 mg,,,,,,,,: 0 mcg,,,: 0.10 mg,: 0 mg
FR024,"Sapi, daging, gemuk, segar (Beef, high fat, fresh)",Bos taurus,,Daging,Mentah (Raw),,: 60.0 g,: 273 Kal,: 17.5 g,: 22.0 g,: 0.0 g,: 0.5 g,: 10 mg,: 150 mg,: 2.6 mg,: 93 mg,: 267.0 mg,: 0.17 mg,: 6.4 mg,: 0.18 mg,: 7.3 mg,: 0.0 g,: 12 mcg,: 0 mcg,,: 0.08 mg,: 0 mg
FP015,"Sapi, daging, kornet",,,Daging,Olahan (Processed),,: 53.0 g,: 289 Kal,: 16.0 g,: 25.0 g,: 0.0 g,: 6.0 g,: 10 mg,: 170 mg,: 4.0 mg,: 794 mg,: 94.4 mg,: 0.07 mg,: 4.0 mg,: 0.16 mg,: 2.7 mg,: 0.0 g,: 0 mcg,: 52 mcg,,: 0.01 mg,: 0 mg
FR025,"Sapi, daging, kurus, segar (Beef, low fat, fresh)",Bos taurus,,Daging,Mentah (Raw),,: 69.0 g,: 174 Kal,: 19.6 g,: 10.0 g,: 0.0 g,: 1.4 g,: 11 mg,: 181 mg,: 2.9 mg,: 83 mg,: 489.0 mg,: 0.07 mg,: 4.9 mg,: 0.51 mg,: 1.2 mg,: 0.0 g,: 6 mcg,: 181 mcg,,: 0.07 mg,: 0 mg
FR026,"Sapi, daging, lemak sedang, segar (Beef, medium fat, fresh)",Bos taurus,,Daging,Mentah (Raw),,: 66.0 g,: 201 Kal,: 18.8 g,: 14.0 g,: 0.0 g,: 1.2 g,: 11 mg,: 170 mg,: 2.8 mg,: 105 mg,: 378.0 mg,: 4.58 mg,: 5.2 mg,: 0.56 mg,: 1.3 mg,: 0.0 g,: 9 mcg,: 198 mcg,,: 0.08 mg,: 0 mg
FP016,"Sapi, daging, sosis (Worst)",,,Daging,Olahan (Processed),,: 37.6 g,: 448 Kal,: 14.5 g,: 42.3 g,: 2.3 g,: 3.3 g,: 28 mg,: 61 mg,: 1.1 mg,: 765 mg,: 284.5 mg,: 0.06 mg,: 1.7 mg,: 0.18 mg,: 4.9 mg,,: 0 mcg,,,: 0.10 mg,: 0 mg
FR027,"Sapi, daleman, segar (Offal, beef, fresh)",Bos taurus,,Daging,Mentah (Raw),,: 70.1 g,: 183 Kal,: 12.0 g,: 14.4 g,: 1.4 g,: 2.1 g,: 43 mg,: 319 mg,: 1.8 mg,: 277 mg,: 160.0 mg,: 0.10 mg,: 0.8 mg,: 0.22 mg,: 8.4 mg,: 0.0 g,,: 104 mcg,,: 0.31 mg,
FR028,"Sapi, dideh/darah (Black puding (cow's blood), fresh)",Bos taurus,,Daging,Mentah (Raw),,: 75.6 g,: 98 Kal,: 21.9 g,: 1.1 g,: 0.0 g,: 1.4 g,: 7 mg,: 24 mg,: 1.3 mg,: 150 mg,: 170.0 mg,,: 0.2 mg,: 0.03 mg,: 0.9 mg,: 0.0 g,: 15 mcg,: 214 mcg,,: 0.01 mg,: 0 mg
FR029,"Sapi, ginjal, segar (Kidney, beef, fresh)",Bos taurus,,Daging,Mentah (Raw),,: 74.9 g,: 137 Kal,: 15.0 g,: 8.1 g,: 0.9 g,: 1.1 g,: 9 mg,: 221 mg,: 7.9 mg,: 200 mg,: 230.2 mg,,,: 1.22 mg,: 6.1 mg,: 0.0 g,: 348 mcg,: 583 mcg,,: 0.37 mg,: 13 mg
FP017,"Sapi, hati, sosis (liverworst)",,,Daging,Olahan (Processed),,: 56.6 g,: 274 Kal,: 16.0 g,: 22.0 g,: 3.0 g,: 2.4 g,: 20 mg,: 150 mg,: 4.0 mg,: 654 mg,: 158.8 mg,: 0.22 mg,: 2.2 mg,: 0.96 mg,: 4.0 mg,: 2.3 g,": 1,201 mcg",,,: 0.20 mg,: 0 mg
FR030,"Sapi, keleponan, segar (Tripe, beef, fresh)",Bos taurus,,Daging,Mentah (Raw),,: 83.8 g,: 84 Kal,: 10.5 g,: 4.6 g,: 0.2 g,: 0.9 g,: 20 mg,: 13 mg,: 2.1 mg,: 73 mg,: 318.0 mg,: 0.20 mg,: 1.7 mg,: 0.14 mg,: 0.3 mg,: 0.0 g,: 857 mcg,: 34 mcg,,: 0.10 mg,
FR031,"Sapi, liver, segar (Liver, beef, fresh)",Bos taurus,,Daging,Mentah (Raw),,: 69.7 g,: 132 Kal,: 19.7 g,: 3.2 g,: 6.0 g,: 1.4 g,: 7 mg,: 358 mg,: 6.6 mg,: 110 mg,: 213.0 mg,: 0.51 mg,: 2.3 mg,: 1.52 mg,: 11.4 mg,: 0.0 g,": 13,303 mcg",: 355 mcg,,: 0.26 mg,: 31 mg
FR032,"Sapi, otak, segar (Brain, beef, fresh)",Bos taurus,,Daging,Mentah (Raw),,: 78.9 g,: 123 Kal,: 10.4 g,: 8.6 g,: 0.8 g,: 1.3 g,: 16 mg,: 330 mg,: 3.6 mg,: 112 mg,: 243.8 mg,: 0.26 mg,: 0.9 mg,: 0.19 mg,: 3.9 mg,: 0.0 g,: 0 mcg,: 0 mcg,,: 0.23 mg,: 18 mg
FP018,"Sapi, paru, dendeng, mentah",,,Daging,Olahan (Processed),,: 9.7 g,: 360 Kal,: 57.3 g,: 6.0 g,: 19.2 g,: 7.8 g,: 126 mg,: 903 mg,: 21.1 mg,": 1,483 mg",: 864.0 mg,: 1.20 mg,: 6.1 mg,,,,": 2,827 mcg",,,,
FP019,"Sapi, paru, goreng",,,Daging,Olahan (Processed),,: 45.5 g,: 268 Kal,: 23.9 g,: 12.7 g,: 14.5 g,: 3.1 g,: 102 mg,: 315 mg,: 8.8 mg,: 923 mg,: 299.0 mg,: 0.00 mg,: 1.5 mg,,,,: 790 mcg,,,,
FR033,"Sapi, usus, segar",,,Daging,Mentah (Raw),,: 76.7 g,: 126 Kal,: 14.0 g,: 7.2 g,: 1.5 g,: 0.6 g,: 14 mg,: 115 mg,: 4.0 mg,,,,,: 0.33 mg,: 0.2 mg,: 0.0 g,: 61 mcg,: 0 mcg,,: 0.08 mg,: 0 mg
GP049,Sardines dalam kaleng,,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 47.1 g,: 338 Kal,: 21.1 g,: 27.0 g,: 1.0 g,: 3.8 g,: 354 mg,: 434 mg,: 3.5 mg,,,,,,,: 0.0 g,: 76 mcg,: 0 mcg,,: 0.10 mg,: 0 mg
CP059,"Saridele, bubuk",,,Kacang-Kacangan,Olahan (Processed),,: 3.0 g,: 344 Kal,: 30.0 g,: 20.0 g,: 43.0 g,: 4.0 g,: 450 mg,: 500 mg,: 4.0 mg,: 56 mg,": 2,572.3 mg",: 2.99 mg,: 4.0 mg,: 0.16 mg,: 2.0 mg,: 6.2 g,,: 0 mcg,": 2,000 mcg",: 0.70 mg,: 10 mg
AP105,Sarimuka,,Kalimantan Selatan,Serealia,Olahan (Processed),"Kue basah. Bahan dasar terdiri dari beras ketan, gula merah, gula pasir, santan, telur ayam diolah dengan cara dikukus",: 61.5 g,: 166 Kal,: 2.3 g,: 2.8 g,: 32.9 g,: 0.5 g,: 36 mg,: 13 mg,: 2.0 mg,: 3 mg,: 34.0 mg,: 0.00 mg,: 0.0 mg,,,,,,,,
GP090,Sate Bandeng,,Banten,Ikan/Kerang/Udang dll,Olahan (Processed),Pangan tunggal terolah/ produk yang berbahan baku ikan bandeng,: 47.1 g,: 283 Kal,: 12.1 g,: 16.8 g,: 20.9 g,: 3.1 g,: 118 mg,: 186 mg,: 1.2 mg,: 543 mg,: 199.0 mg,: 0.20 mg,: 0.9 mg,: 0.02 mg,: 0.0 mg,: 2.0 g,,: 2 mcg,: 0 mcg,: 0.02 mg,: 0 mg
FP065,"Sate pusut, masakan",,,Daging,Olahan (Processed),"Daging diling (sapi, babi), kelapa parut diberi bumbu (bawang, cabai, terasi, dan garam) dibentuk bulat panjang (lonjong) ditusuk lalu dibakar.",: 52.1 g,: 274 Kal,: 12.9 g,: 18.6 g,: 13.6 g,: 2.8 g,: 63 mg,: 190 mg,: 2.7 mg,: 609 mg,,,,,: 0.0 mg,,: 133 mcg,: 0 mcg,,: 0.06 mg,
FP064,"Sate, penyu, masakan",,,Daging,Olahan (Processed),,: 57.4 g,: 179 Kal,: 22.5 g,: 3.5 g,: 13.3 g,: 3.3 g,: 187 mg,: 238 mg,: 14.4 mg,,,,: 0.0 mg,,: 0.0 mg,: 0.0 g,,: 0 mcg,,: 0.10 mg,
DR142,"Sawi putih / pecai, segar (Pak choi, fresh)",Brassica rapa  cv. group chinese Cabbage,,Sayuran,Mentah (Raw),,: 96.6 g,: 9 Kal,: 1.0 g,: 0.1 g,: 1.7 g,: 0.6 g,: 56 mg,: 42 mg,: 1.1 mg,: 5 mg,: 193.1 mg,: 0.05 mg,: 0.1 mg,: 0.18 mg,: 0.4 mg,: 0.8 g,: 0 mcg,: 862 mcg,: 832 mcg,: 0.05 mg,: 3 mg
DR143,"Sawi taiwan, segar",,,Sayuran,Mentah (Raw),,: 91.8 g,: 30 Kal,: 1.9 g,: 0.5 g,: 4.4 g,: 1.4 g,: 100 mg,: 58 mg,: 1.6 mg,: 27 mg,: 217.0 mg,: 0.10 mg,: 0.7 mg,: 0.10 mg,: 0.6 mg,: 2.7 g,,": 1,340 mcg",,: 0.20 mg,: 33 mg
DR144,"Sawi tanah, segar",Rorippa dubia,,Sayuran,Mentah (Raw),,: 94.9 g,: 19 Kal,: 1.3 g,: 0.2 g,: 2.9 g,: 1.0 g,: 92 mg,: 45 mg,: 1.2 mg,: 17 mg,: 145.0 mg,: 0.10 mg,: 0.4 mg,: 0.10 mg,: 0.1 mg,: 2.2 g,,: 815 mcg,,: 0.20 mg,: 36 mg
DR141,"Sawi, segar (Chinese mustard, fresh)",Brassica Juncea,,Sayuran,Mentah (Raw),,: 92.2 g,: 28 Kal,: 2.3 g,: 0.3 g,: 4.0 g,: 1.2 g,: 220 mg,: 38 mg,: 2.9 mg,: 22 mg,: 436.5 mg,: 0.12 mg,: 0.2 mg,: 0.23 mg,: 0.7 mg,: 2.5 g,,": 2,042 mcg",": 6,460 mcg",: 0.09 mg,: 102 mg
ER102,"Sawo duren, segar (Sapodilla, fresh)",Chrysophyllum cainito,,Buah,Mentah (Raw),,: 87.3 g,: 64 Kal,: 1.0 g,: 3.1 g,: 8.0 g,: 0.6 g,: 18 mg,: 45 mg,: 0.8 mg,: 13 mg,: 111.4 mg,: 0.02 mg,: 0.1 mg,: 0.02 mg,: 0.1 mg,: 0.8 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.01 mg,: 1 mg
ER103,"Sawo kecik, segar (Sapodilla, fresh)",Manilkara kauki,,Buah,Mentah (Raw),,: 73.8 g,: 111 Kal,: 0.9 g,: 2.3 g,: 21.6 g,: 1.4 g,: 20 mg,: 185 mg,: 0.7 mg,: 28 mg,: 117.8 mg,: 0.04 mg,: 0.1 mg,: 0.04 mg,: 1.5 mg,: 1.0 g,: 0 mcg,: 119 mcg,: 12 mcg,: 0.00 mg,: 19 mg
ER104,"Sawo Manila, segar (Sapodilla, manila, fresh)",Manilkara zapota,,Buah,Mentah (Raw),,: 75.5 g,: 92 Kal,: 0.5 g,: 1.1 g,: 22.4 g,: 0.5 g,: 25 mg,: 12 mg,: 1.0 mg,: 26 mg,: 110.2 mg,: 0.04 mg,: 0.1 mg,: 0.04 mg,: 1.4 mg,: 9.5 g,: 0 mcg,: 111 mcg,: 60 mcg,: 0.01 mg,: 21 mg
DP047,Sayur asem,,,Sayuran,Olahan (Processed),,: 93.2 g,: 29 Kal,: 0.7 g,: 0.6 g,: 5.0 g,: 0.8 g,: 40 mg,: 61 mg,: 3.1 mg,,,,,,,: 0.6 g,: 14 mcg,,": 2,075 mcg",: 0.10 mg,: 0 mg
DP048,Sayur bunga pepaya,,,Sayuran,Olahan (Processed),,: 83.4 g,: 49 Kal,: 1.7 g,: 0.3 g,: 9.8 g,: 2.1 g,: 220 mg,: 220 mg,: 1.3 mg,: 90 mg,: 350.0 mg,: 0.10 mg,: 0.1 mg,: 0.10 mg,: 0.0 mg,: 2.7 g,,: 372 mcg,,,: 0 mg
DP049,Sayur garu,,Ternate,Sayuran,Olahan (Processed),"Bahan dasar terdiri dari jantung pisang, daun ubi, daun pepaya. Ditumis",: 70.8 g,: 178 Kal,: 2.6 g,: 13.9 g,: 10.6 g,: 2.1 g,: 30 mg,: 130 mg,: 0.9 mg,: 20 mg,: 120.0 mg,: 0.10 mg,: 0.3 mg,: 0.10 mg,,: 8.4 g,,,,: 0.20 mg,: 9 mg
DP050,Sayur kohu-kohu,,Maluku,Sayuran,Olahan (Processed),"Seperti urap. Bahan dasar terdiri dari bayam, ketimun, daun kemangi, kacang panjang, taoge, dan kelapa.",: 72.8 g,: 133 Kal,: 7.3 g,: 6.6 g,: 11.2 g,: 2.1 g,: 40 mg,: 120 mg,: 0.2 mg,: 20 mg,: 50.0 mg,: 0.10 mg,: 0.3 mg,: 0.20 mg,,: 1.2 g,,: 944 mcg,,: 0.20 mg,: 9 mg
CP058,Sayur lebui,,Lombok,Kacang-Kacangan,Olahan (Processed),"Bahan dasar kedelai hitam yang direbus bersama labu kuning, belimbing wuluh, tomat, cabai dan santan.",: 83.9 g,: 64 Kal,: 2.1 g,: 0.6 g,: 12.5 g,: 0.9 g,: 21 mg,: 2 mg,: 1.0 mg,: 124 mg,: 146.0 mg,: 0.20 mg,: 0.7 mg,: 0.00 mg,: 0.1 mg,: 5.7 g,,: 14 mcg,,,
DP051,Sayur lilin-terubuk,,Maluku Utara,Sayuran,Olahan (Processed),Bahan dasar terdiri dari lilin/terubuk. Direbus dengan santan.,: 90.4 g,: 36 Kal,: 2.7 g,: 0.7 g,: 4.8 g,: 1.4 g,: 10 mg,: 90 mg,: 0.1 mg,: 30 mg,: 44.0 mg,: 0.20 mg,: 1.0 mg,: 0.20 mg,,: 1.4 g,,,,: 0.30 mg,: 18 mg
DP052,Sayur ndusuk,,,Sayuran,Olahan (Processed),,: 87.5 g,: 49 Kal,: 3.1 g,: 2.5 g,: 3.6 g,: 3.1 g,: 11 mg,: 6 mg,: 0.5 mg,": 1,011 mg",: 88.0 mg,,: 0.2 mg,: 0.10 mg,,,,,,: 0.20 mg,: 15 mg
DP053,Sayur sop,,,Sayuran,Olahan (Processed),,: 92.7 g,: 27 Kal,: 1.3 g,: 2.0 g,: 1.0 g,: 2.7 g,: 168 mg,: 57 mg,: 1.8 mg,,,,,,,: 0.3 g,: 20 mcg,,": 2,569 mcg",: 0.10 mg,: 0 mg
DP054,Sayur umbut kelapa,,,Sayuran,Olahan (Processed),"Bahan dasar terdiri dari umbut kelapa, labu kuning, dan iga sapi. Direbus dengan santan",: 85.5 g,: 67 Kal,: 5.2 g,: 2.9 g,: 5.1 g,: 1.3 g,: 48 mg,: 81 mg,: 3.2 mg,: 313 mg,: 108.0 mg,: 0.20 mg,: 1.1 mg,,,: 1.4 g,,: 21 mcg,,: 0.20 mg,: 5 mg
DP055,Sayur umbut rotan,,,Sayuran,Olahan (Processed),Umbut rotan masak tumis,: 87.6 g,: 57 Kal,: 5.4 g,: 2.6 g,: 3.1 g,: 1.3 g,: 184 mg,: 135 mg,: 1.2 mg,: 256 mg,: 81.0 mg,: 0.20 mg,: 0.9 mg,,,: 1.6 g,,: 18 mcg,: 0 mcg,: 0.20 mg,: 6 mg
DR146,"Selada air, segar (Watercress, fresh)",Nasturtium officinale,,Sayuran,Mentah (Raw),,: 93.3 g,: 17 Kal,: 3.1 g,: 0.2 g,: 2.2 g,: 1.2 g,: 95 mg,: 152 mg,: 2.4 mg,: 65 mg,: 260.7 mg,: 0.11 mg,: 0.2 mg,: 0.14 mg,: 0.7 mg,: 0.7 g,: 0 mcg,": 1,230 mcg",": 3,727 mcg",: 0.09 mg,: 56 mg
DP016,"Selada, rebus",,,Sayuran,Olahan (Processed),,: 93.5 g,: 19 Kal,: 2.7 g,: 0.2 g,: 2.9 g,: 0.7 g,: 83 mg,: 74 mg,: 1.4 mg,: 24 mg,: 160.7 mg,: 0.05 mg,: 0.2 mg,: 0.20 mg,: 0.6 mg,: 0.7 g,,": 2,499 mcg",": 3,700 mcg",: 0.08 mg,: 27 mg
DR145,"Selada, segar (Lettuce)",Lactuca sativa,,Sayuran,Mentah (Raw),,: 94.8 g,: 18 Kal,: 1.2 g,: 0.2 g,: 2.9 g,: 0.9 g,: 22 mg,: 25 mg,: 0.5 mg,: 19 mg,: 186.4 mg,: 0.03 mg,: 0.2 mg,: 0.13 mg,: 0.4 mg,: 1.8 g,,": 1,526 mcg",: 540 mcg,: 0.04 mg,: 8 mg
DR147,"Seledri, segar (Celery, fresh)",Apium graveolens,,Sayuran,Mentah (Raw),,: 93.0 g,: 23 Kal,: 1.0 g,: 0.1 g,: 4.6 g,: 1.3 g,: 50 mg,: 40 mg,: 1.0 mg,: 64 mg,: 258.8 mg,: 0.08 mg,: 0.4 mg,: 0.07 mg,: 0.4 mg,: 2.0 g,,: 63 mcg,: 130 mcg,: 0.03 mg,: 11 mg
ER105,"Semangka, segar (Water melon, fresh)",Citrullus lanatus,,Buah,Mentah (Raw),,: 92.1 g,: 28 Kal,: 0.5 g,: 0.2 g,: 6.9 g,: 0.3 g,: 7 mg,: 12 mg,: 0.2 mg,: 7 mg,: 93.8 mg,: 0.04 mg,: 0.1 mg,: 0.05 mg,: 0.3 mg,: 0.4 g,,: 315 mcg,: 590 mcg,: 0.05 mg,: 6 mg
DP057,Semur jengkol,,,Sayuran,Olahan (Processed),,: 52.7 g,: 212 Kal,: 6.0 g,: 10.0 g,: 29.1 g,: 2.2 g,: 77 mg,: 99 mg,: 1.0 mg,,,,,,,,,,: 81 mcg,: 0.14 mg,: 4 mg
BR023,"Sente, talas, segar (Giant taro, fresh)",Alocacia macrorrhizos,,Umbi Berpati,Mentah (Raw),,: 14.0 g,: 353 Kal,: 0.7 g,: 0.2 g,: 84.7 g,: 0.4 g,: 11 mg,: 13 mg,: 1.5 mg,: 30 mg,: 694.6 mg,: 0.60 mg,: 2.2 mg,: 0.20 mg,: 2.8 mg,: 6.6 g,,: 41 mcg,,: 0.05 mg,: 5 mg
GP091,"Sepi, masakan",,Bima,Ikan/Kerang/Udang dll,Olahan (Processed),Makanan yang terbuat dari udang rebon (anak udang yang sangat kecil yang di Bima disebut Sepi Bou),: 66.1 g,: 88 Kal,: 7.9 g,: 1.6 g,: 10.6 g,: 13.8 g,: 924 mg,: 350 mg,: 2.3 mg,: 873 mg,: 258.0 mg,: 1.00 mg,: 1.1 mg,,,,: 783 mcg,,,,
BP062,Serimping talas kebumen,,,Umbi Berpati,Olahan (Processed),,: 4.8 g,: 478 Kal,: 2.5 g,: 21.2 g,: 69.2 g,: 2.3 g,: 112 mg,: 118 mg,: 2.3 mg,,,,,,,: 1.7 g,: 0 mcg,,: 0 mcg,: 0.25 mg,: 0 mg
DP056,Shabu-shabu,,,Sayuran,Olahan (Processed),,: 87.1 g,: 88 Kal,: 3.2 g,: 8.0 g,: 0.8 g,: 0.9 g,: 217 mg,: 48 mg,: 2.9 mg,: 514 mg,,,,,,: 0.9 g,: 82 mcg,,": 2,000 mcg",: 0.20 mg,: 0 mg
FP067,"Sie reuboh, masakan",,,Daging,Olahan (Processed),Daging Sapi/Kerbau direbus dengan bumbu pedas,: 32.4 g,: 474 Kal,: 11.2 g,: 42.5 g,: 11.7 g,: 2.2 g,: 26 mg,: 62 mg,: 1.3 mg,: 677 mg,: 176.0 mg,: 2.40 mg,: 3.2 mg,: 0.26 mg,,,: 141 mcg,: 9 mcg,,: 0.46 mg,
ER106,"Sirsak, segar (Soursop, fresh)",Annona muricata,,Buah,Mentah (Raw),,: 81.7 g,: 65 Kal,: 1.0 g,: 0.3 g,: 16.3 g,: 0.7 g,: 14 mg,: 27 mg,: 0.6 mg,: 2 mg,: 298.9 mg,: 0.08 mg,: 1.0 mg,: 0.08 mg,: 0.7 mg,: 3.2 g,,: 8 mcg,: 10 mcg,: 0.07 mg,: 20 mg
MP014,Sirup (syrup),,,Konfeksioneri,Olahan (Processed),,: 44.0 g,: 213 Kal,: 0.0 g,: 0.0 g,: 55.0 g,: 1.0 g,: 0 mg,: 0 mg,: 0.0 mg,: 3 mg,: 4.2 mg,,,: 0.00 mg,: 0.0 mg,: 0.0 g,,: 0 mcg,,: 0.00 mg,
MP015,"Sirup pirous (syrup, pirous)",,,Konfeksioneri,Olahan (Processed),,: 43.3 g,: 228 Kal,: 0.2 g,: 0.4 g,: 55.9 g,: 0.2 g,: 470 mg,: 93 mg,: 29.5 mg,: 3 mg,: 4.2 mg,,,: 0.00 mg,: 0.0 mg,: 0.0 g,,: 0 mcg,: 0 mcg,: 0.00 mg,: 8 mg
FP068,"Sop buntut, masakan",,,Daging,Olahan (Processed),,: 86.1 g,: 71 Kal,: 7.5 g,: 3.6 g,: 2.2 g,: 0.6 g,: 286 mg,: 38 mg,: 3.2 mg,: 490 mg,,,,,,,: 119 mcg,,": 2,900 mcg",: 0.14 mg,: 0 mg
FP069,"Sop daging sapi, masakan",,Aceh,Daging,Olahan (Processed),,: 87.5 g,: 49 Kal,: 5.8 g,: 0.5 g,: 5.3 g,: 0.9 g,: 158 mg,: 48 mg,: 2.2 mg,: 391 mg,,,,,,,: 101 mcg,,": 3,320 mcg",: 0.37 mg,: 0 mg
FP070,"Sop kaki sapi, masakan",,,Daging,Olahan (Processed),,: 84.5 g,: 68 Kal,: 9.0 g,: 1.9 g,: 3.7 g,: 0.9 g,: 302 mg,: 15 mg,: 2.2 mg,: 435 mg,,,,,,,: 48 mcg,,: 150 mcg,: 0.46 mg,: 0 mg
FP071,"Sop kambing, masakan",,,Daging,Olahan (Processed),,: 91.6 g,: 34 Kal,: 5.5 g,: 0.8 g,: 1.1 g,: 1.0 g,: 145 mg,: 37 mg,: 1.6 mg,: 348 mg,,,,,,,: 48 mcg,,: 80 mcg,: 0.57 mg,: 0 mg
FP072,"Sop konro, masakan",,Makassar,Daging,Olahan (Processed),Bahan dasar terdiri dari iga sapi  bumbu kluwek.,: 85.0 g,: 71 Kal,: 7.4 g,: 2.6 g,: 4.5 g,: 0.5 g,: 17 mg,: 60 mg,: 4.6 mg,: 184 mg,: 25.0 mg,: 0.30 mg,: 1.3 mg,: 0.02 mg,: 10.9 mg,,,,,: 0.12 mg,: 0 mg
FP073,"Sop saudara, masakan",,Makassar,Daging,Olahan (Processed),Bahan dasar terdiri dari daging sapi tanpa kluwek.,: 82.4 g,: 89 Kal,: 7.2 g,: 5.0 g,: 3.9 g,: 1.5 g,: 10 mg,: 174 mg,: 9.0 mg,: 274 mg,: 50.0 mg,: 0.20 mg,: 1.1 mg,: 0.12 mg,: 2.0 mg,,,,,: 0.09 mg,: 0 mg
FP074,"Soto bandung, masakan",,Bandung,Daging,Olahan (Processed),"Kuah bening. Bahan dasar terdiri dari Daging sapi, lobak, dan kacang kedelai goreng. Biasa ditambahkan kecap manis.",: 89.9 g,: 42 Kal,: 3.9 g,: 1.7 g,: 2.8 g,: 1.8 g,: 74 mg,: 75 mg,: 1.8 mg,,,,,,: 0.0 mg,: 0.4 g,: 6 mcg,: 20 mcg,: 0 mcg,,: 0 mg
FP075,"Soto banjar, masakan",,Banjar,Daging,Olahan (Processed),"Kuah bening. Bahan dasar terdiri dari Ayam dan rempah-rempah (kayu manis, biji pali dan cengkeh)",: 83.7 g,: 110 Kal,: 2.9 g,: 9.5 g,: 3.2 g,: 0.7 g,: 28 mg,: 28 mg,: 0.3 mg,: 36 mg,: 6.0 mg,: 0.00 mg,: 0.2 mg,,,,: 12 mcg,,: 770 mcg,: 0.05 mg,: 0 mg
FP076,"Soto betawi, masakan",,Betawi,Daging,Olahan (Processed),Kuah bening/ santan. Bahan dasar terdiri dari daging sapi dan atau jeroan ditambah emping,: 75.9 g,: 135 Kal,: 2.5 g,: 8.8 g,: 11.5 g,: 1.3 g,: 222 mg,: 72 mg,: 1.9 mg,,,,,,: 0.0 mg,: 0.5 g,: 6 mcg,,: 336 mcg,: 0.04 mg,: 0 mg
FP077,"Soto jeroan, masakan",,,Daging,Olahan (Processed),,: 81.4 g,: 92 Kal,: 11.8 g,: 4.3 g,: 1.4 g,: 1.1 g,: 218 mg,: 48 mg,: 1.9 mg,: 363 mg,,,,,,,: 85 mcg,,: 440 mcg,: 0.36 mg,: 0 mg
